video_id,cluster,cluster_id,fusion_strategy,k_selected,url
2Sv1UXTrZjc,0,0,concat,6,https://www.youtube.com/watch?v=2Sv1UXTrZjc
2VlAQJ0nqIU,0,0,concat,6,https://www.youtube.com/watch?v=2VlAQJ0nqIU
2Whf_n9kwOg,0,0,concat,6,https://www.youtube.com/watch?v=2Whf_n9kwOg
2YTfyoHjIIA,0,0,concat,6,https://www.youtube.com/watch?v=2YTfyoHjIIA
2aU_cAz9YHo,0,0,concat,6,https://www.youtube.com/watch?v=2aU_cAz9YHo
2mreQKcsL6E,0,0,concat,6,https://www.youtube.com/watch?v=2mreQKcsL6E
2nr5DwNjlAc,0,0,concat,6,https://www.youtube.com/watch?v=2nr5DwNjlAc
2qTGM4P6d-g,0,0,concat,6,https://www.youtube.com/watch?v=2qTGM4P6d-g
2u4S6P9AHws,0,0,concat,6,https://www.youtube.com/watch?v=2u4S6P9AHws
2uKjZ6o_NsM,0,0,concat,6,https://www.youtube.com/watch?v=2uKjZ6o_NsM
30F_U-cDSqQ,0,0,concat,6,https://www.youtube.com/watch?v=30F_U-cDSqQ
32bP0aHIg1o,0,0,concat,6,https://www.youtube.com/watch?v=32bP0aHIg1o
3A7OO0ySG-U,0,0,concat,6,https://www.youtube.com/watch?v=3A7OO0ySG-U
3AblHVSj54s,0,0,concat,6,https://www.youtube.com/watch?v=3AblHVSj54s
3Bf2mCX5f4o,0,0,concat,6,https://www.youtube.com/watch?v=3Bf2mCX5f4o
3D5gK53jOHg,0,0,concat,6,https://www.youtube.com/watch?v=3D5gK53jOHg
3I63SZSV_LM,0,0,concat,6,https://www.youtube.com/watch?v=3I63SZSV_LM
3IzpzGfHVw0,0,0,concat,6,https://www.youtube.com/watch?v=3IzpzGfHVw0
3QQX157pHwc,0,0,concat,6,https://www.youtube.com/watch?v=3QQX157pHwc
3SUFKsehock,0,0,concat,6,https://www.youtube.com/watch?v=3SUFKsehock
3Xe9cpH4rRs,0,0,concat,6,https://www.youtube.com/watch?v=3Xe9cpH4rRs
3dYJAFEGN1A,0,0,concat,6,https://www.youtube.com/watch?v=3dYJAFEGN1A
3ew8l3fXdWo,0,0,concat,6,https://www.youtube.com/watch?v=3ew8l3fXdWo
3fkQLqcgXD8,0,0,concat,6,https://www.youtube.com/watch?v=3fkQLqcgXD8
3gvdTW0YIKg,0,0,concat,6,https://www.youtube.com/watch?v=3gvdTW0YIKg
3onX0FH6WIE,0,0,concat,6,https://www.youtube.com/watch?v=3onX0FH6WIE
3tC1iCHOrok,0,0,concat,6,https://www.youtube.com/watch?v=3tC1iCHOrok
43XtY9N-ARQ,0,0,concat,6,https://www.youtube.com/watch?v=43XtY9N-ARQ
4GTwgXcaYgo,0,0,concat,6,https://www.youtube.com/watch?v=4GTwgXcaYgo
