video_id,cluster,cluster_id,fusion_strategy,k_selected
7V2wAcpQfb0,0,0,concat,6
7WECP_QwiSk,0,0,concat,6
7Yzw-cw6MN8,0,0,concat,6
7ll9xN35P7Q,0,0,concat,6
7mhWa0PgYZ0,0,0,concat,6
7p2G4voYPwM,0,0,concat,6
7pbFXBuiLYE,0,0,concat,6
7qe0fcoE1wY,0,0,concat,6
7srnga3dzlY,0,0,concat,6
7t0PyqYsac8,0,0,concat,6
7uPkrYjz_NQ,0,0,concat,6
8Es5IlASoOI,0,0,concat,6
8M4E2AT1-g0,0,0,concat,6
8QiLWVB9Zto,0,0,concat,6
8_JefUS1o_w,0,0,concat,6
8h5bi0EY-lM,0,0,concat,6
8qeMOvX_yL4,0,0,concat,6
8slK1M-pka0,0,0,concat,6
92KdNJHFRCI,0,0,concat,6
94ie7wZj7ZY,0,0,concat,6
96St-G_Ry8o,0,0,concat,6
9F-VnfH8juI,0,0,concat,6
9KhLJYlab5A,0,0,concat,6
9LiAcR6Vcuo,0,0,concat,6
9Qlfy9AqEZc,0,0,concat,6
9S-dTbIk7nA,0,0,concat,6
9TdpHfLJou8,0,0,concat,6
9_CNeufdSA4,0,0,concat,6
9aIBy96GQ1o,0,0,concat,6
9b5BKFZoBVo,0,0,concat,6
9gb4alzN5PA,0,0,concat,6
9j4pBKXOcvk,0,0,concat,6
9vsi7NHgD1w,0,0,concat,6
9xQZcGRExbk,0,0,concat,6
A-JCJOSlStQ,0,0,concat,6
A4WHUWEkB_c,0,0,concat,6
AAxCglz-dSo,0,0,concat,6
ACMfratUm5I,0,0,concat,6
AHDBPktGPrg,0,0,concat,6
AKwFBgDKE64,0,0,concat,6
AMHfjh-VgDg,0,0,concat,6
AQCU2EhTl2s,0,0,concat,6
AVvMZafbYZU,0,0,concat,6
AWQT_JUz-e8,0,0,concat,6
AgLKWZnIYVQ,0,0,concat,6
AgLbDOOm7eE,0,0,concat,6
AsR9gEDDTN0,0,0,concat,6
AwtXF1272bk,0,0,concat,6
AyPb0xDmG70,0,0,concat,6
B-sup3_89kU,0,0,concat,6
B4XNRakFY9o,0,0,concat,6
B8ohd5bNogs,0,0,concat,6
B9Uc0FKUQE0,0,0,concat,6
B9Yg7KFrtRo,0,0,concat,6
BICIijkw2CA,0,0,concat,6
BJzmtcxqVrU,0,0,concat,6
BUQArCvAtO0,0,0,concat,6
BVirD3fIHSM,0,0,concat,6
Bhn7ni4ibGE,0,0,concat,6
Bklkq9pncL4,0,0,concat,6
Brw7rKZf6Uo,0,0,concat,6
Buh8Y3CwPu0,0,0,concat,6
Bw0RNBdHq1A,0,0,concat,6
BwMZd7iy_sc,0,0,concat,6
C1NXc_isx3E,0,0,concat,6
C4p4xrvsK5w,0,0,concat,6
C5yV4X7x96E,0,0,concat,6
C8X6GPzz4lU,0,0,concat,6
C9fOT2w771M,0,0,concat,6
CC2umLijZLE,0,0,concat,6
CPP17TABJHg,0,0,concat,6
CRWR13BAIEs,0,0,concat,6
CVfXpY1UdjU,0,0,concat,6
CX90iZVIwjw,0,0,concat,6
C_rF2XQWTCA,0,0,concat,6
Ccii3FRYXLE,0,0,concat,6
CgrojExyb_s,0,0,concat,6
CjLPlHJhaLQ,0,0,concat,6
Cok9pKqhlIU,0,0,concat,6
CtL__8JCU20,0,0,concat,6
CzD0G4Ee7k0,0,0,concat,6
D-IXCi8WqSE,0,0,concat,6
D-P6FwNNP3M,0,0,concat,6
D16EiQc25Aw,0,0,concat,6
DDqJVQfCDks,0,0,concat,6
DFHesPqEiwE,0,0,concat,6
DHoIICtSohQ,0,0,concat,6
DJVBGQvhFEc,0,0,concat,6
DO6rVx86u0k,0,0,concat,6
DS_scl2l7HM,0,0,concat,6
DSinMYWMZtI,0,0,concat,6
DTPGALkbTTg,0,0,concat,6
DTlGX2jgWPk,0,0,concat,6
DWJqy0wfs9E,0,0,concat,6
DaojTx9oBus,0,0,concat,6
DgfnrQVe8Nk,0,0,concat,6
DhA8r8b-Noc,0,0,concat,6
Dj5W_0BVePw,0,0,concat,6
