horizon,candidate,n,mae_log,rmse_log,r2_log,mae_raw,rmse_raw,mape_raw,bias_log,corr_true_pred_log,p95_abs_residual_log,family,model_family,strategy,fit_status
7,stack::linear,808,1.0944575972799009,1.358427020766899,0.42170368352121435,808679.1472332528,2601199.663380819,2.106384967330449,-0.0008766507156907742,0.6494014525990351,2.6614403616089235,stack,,,ok
7,stack::lassocv,808,1.0954456896638294,1.3584392797443146,0.4216932459292594,808506.3549399143,2602573.2303884802,2.104641842188225,-0.0012281966479873287,0.6493797257257738,2.6765082522393095,stack,,,ok
7,stack::ridgecv,808,1.0954198998064328,1.358548935460773,0.42159987819193145,808239.4266031886,2604539.653299713,2.103683452589865,-0.0008686815076928958,0.6493213678470743,2.6820367425851686,stack,,,ok
7,stack::elasticnetcv,808,1.0959782915475007,1.3587994921211382,0.4213865102917451,808185.5562008524,2604371.493960548,2.1039722216450296,-0.0011532877601007393,0.649168397189548,2.6884516859112235,stack,,,ok
7,stack::huber,808,1.091144121037008,1.3603977982313193,0.4200245059835841,810841.8532123087,2575846.187661841,2.153080319181204,0.00445814783164768,0.649220753062924,2.704252840731159,stack,,,ok
7,base::gbdt|concat,808,1.1127116208029268,1.3695271599192655,0.412214184234712,809351.2648551989,2643979.5182385063,2.0975892113768864,0.013399952709084733,0.643300939260939,2.689562320709228,base,gbdt,concat,
7,stack::random_forest,808,1.1571672044484924,1.4423087626396685,0.34808002693289,836191.508049717,2671117.3394011883,2.4124200913714433,0.003110508639426873,0.5961669968789196,2.9060168648719777,stack,,,ok
7,blend::val_weighted_mean_log,808,1.1677408255578907,1.4426136228378197,0.3478044057045062,819503.3891950775,2698027.726436912,2.382541527692291,-0.023767393760485384,0.598068996703054,2.8244211745565204,deterministic,,,
7,blend::mean_log,808,1.1750991353304079,1.4524202164929012,0.33890728203022036,821933.3549179087,2701241.5070260614,2.428237892294385,-0.025513681149718786,0.5893515527779277,2.8445467710494996,deterministic,,,
7,blend::median_log,808,1.191471040839016,1.4762981653718223,0.31699172902584605,828141.00131003,2701416.4484373434,2.655358954802862,-0.024226481371586873,0.5664492301803012,2.8945369720458975,deterministic,,,
7,blend::trimmed_mean_log,808,1.191471040839016,1.4762981653718223,0.31699172902584605,828141.00131003,2701416.4484373434,2.655358954802862,-0.024226481371586873,0.5664492301803012,2.8945369720458975,deterministic,,,
7,blend::range_midpoint_log,808,1.1995963003308372,1.4830075039116415,0.3107694807654192,829503.4075649134,2678938.7390616722,2.987111665971925,0.09116742318915548,0.5613303879875244,2.893899115773137,deterministic,,,
7,stack::hist_gbdt,808,1.2017167867034977,1.5078227925040966,0.2875105950737846,866291.4351993812,2685998.1507624527,2.5979918004978573,-0.004351447712680799,0.5586761497421434,3.005393334232869,stack,,,ok
7,base::concat_mlp|max_pool,808,1.2241148382130236,1.5334835572908119,0.2630533482057361,826207.4933913158,2665616.337938049,2.939554187490149,-0.030522816252000252,0.5168602176829352,2.960319423675536,base,concat_mlp,max_pool,
7,base::gated_fusion_mlp|concat,808,1.3020530077490475,1.616371754986883,0.18123304127131679,867716.0604379871,2754008.5992467753,3.225586245833761,-0.09900644037983206,0.43408241597140773,3.0935480594635005,base,gated_fusion_mlp,concat,
7,base::ridge|sum_pool,808,1.3020429174498755,1.6200467520888002,0.17750569724015874,883824.6372780331,2749556.6085047587,3.3516750228213796,0.014074579323872434,0.44928315888895304,3.151886272430418,base,ridge,sum_pool,
