horizon,candidate,n,mae_log,rmse_log,r2_log,mae_raw,rmse_raw,mape_raw,bias_log,corr_true_pred_log,p95_abs_residual_log,family,model_family,strategy,fit_status
30,stack::elasticnetcv,733,1.2230522917674984,1.6005407035172945,0.7245161008744101,1865758.2847242386,6473762.445054224,38.61738166603036,-0.002488275460477754,0.8512338591888433,3.14152044978995,stack,,,ok
30,stack::lassocv,733,1.2218515755695871,1.6006861656894522,0.7244660249129179,1862048.1706510931,6474319.50584733,39.11125279281147,-0.002753165219583782,0.8511919699893246,3.1091941654775725,stack,,,ok
30,stack::linear,733,1.2235380225440284,1.6006972496065937,0.7244622090414639,1872320.278397369,6458767.660667612,39.42077444282488,-0.0026390066478468714,0.8511576849432183,3.0894542701392593,stack,,,ok
30,stack::ridgecv,733,1.2239335914103409,1.600726891035287,0.7244520042267738,1873354.542098044,6464359.159514421,39.08735777995936,-0.0026113124106883403,0.8511486897458876,3.1161818026730095,stack,,,ok
30,stack::huber,733,1.2208218313977321,1.6007691397840647,0.7244374586953088,1861918.4349023765,6451752.971078931,40.75869539399868,0.021564018459282276,0.8511820365955687,3.1226438311800853,stack,,,ok
30,base::gbdt|concat,733,1.2263757496218401,1.6212415797051152,0.7173439784910786,1836432.9564524314,6604735.505608214,37.800220698778595,-0.13333784314164687,0.8480906541960721,3.268726539611816,base,gbdt,concat,
30,stack::random_forest,733,1.2430411204428713,1.6339054513834985,0.7129109564976872,1898044.7088945103,6554044.417978492,43.89428136831907,-0.012036746192054389,0.8450034443393016,3.2833853230476375,stack,,,ok
30,stack::hist_gbdt,733,1.2907685029975065,1.704376045922271,0.6876125209263462,1958579.3547939141,6666359.187898467,92.23040851938944,0.00740340841032609,0.8309376339699536,3.2788764421939187,stack,,,ok
30,blend::val_weighted_mean_log,733,1.552535718851395,2.0124114116131593,0.5644918190375101,5610866.816851367,99626588.11213093,33.512032160505655,-0.09711138450352022,0.7756437363640688,3.7614536153931684,deterministic,,,
30,blend::mean_log,733,1.6633693031854877,2.162147923724204,0.49727141387487317,17320739.486242075,415743865.8703116,43.624345359750706,-0.1000940154063913,0.7231217420021605,4.207983374595642,deterministic,,,
30,blend::median_log,733,1.76426337393049,2.3416080148265217,0.4103542580590004,22427007.88412089,553813299.9458046,80.87756441890333,-0.013309404924816845,0.6485904696344562,4.692294406890868,deterministic,,,
30,blend::trimmed_mean_log,733,1.76426337393049,2.3416080148265217,0.4103542580590004,22427007.88412089,553813299.9458046,80.87756441890333,-0.013309404924816845,0.6485904696344562,4.692294406890868,deterministic,,,
30,blend::range_midpoint_log,733,1.7618004113023316,2.4530575479958276,0.35288979564405965,2971716701.7549486,80402496852.91406,699.3556692414753,0.3766966017982297,0.6095208786091921,5.208203302763291,deterministic,,,
30,base::concat_mlp|max_pool,733,1.8877475043761291,2.507335192188787,0.32393637847679857,333709861.3118702,8977794954.5389,146.34791265432864,0.2320721178718348,0.581188147483434,5.1283007621765115,base,concat_mlp,max_pool,
30,base::gated_fusion_mlp|concat,733,2.048295241911447,2.665032808595838,0.2362206811880665,3277338.8601249172,34648608.55565753,170.22989009301506,-0.23020604883014423,0.49231310878132123,5.258458137512206,base,gated_fusion_mlp,concat,
30,base::ridge|sum_pool,733,2.293976860840031,2.949137047574604,0.06469623075016373,14582016539.860332,394713738956.18646,2840.446700875201,-0.26890428752560896,0.39805611924911716,5.53510684967041,base,ridge,sum_pool,
