horizon,candidate,n,coverage_raw,mean_width_raw,median_width_raw,p90_width_raw,under_cover_rate,over_cover_rate
7,range::robust_padded,808,0.21287128712871287,320648.2104653351,140022.40850842837,725112.9258025155,0.3886138613861386,0.39851485148514854
30,range::robust_padded,733,0.2878581173260573,5940490448.926522,465682.5900225234,2596804.535685659,0.3219645293315143,0.39017735334242837
