run_id,model_family,strategy,horizon,video_id,text_present,y_true_log,pred_log,residual_log,abs_residual_log
colab-gbdt-20260306T070623Z,gbdt,concat,30,y-zuwhhDWK8,1.0,6.7393364906311035,6.168045997619629,-0.5712904930114746,0.5712904930114746
colab-gbdt-20260306T070623Z,gbdt,concat,30,o2ED1ZvAk0Y,1.0,15.977810859680176,13.91480541229248,-2.0630054473876953,2.0630054473876953
colab-gbdt-20260306T070623Z,gbdt,concat,30,YlrToWYx_Ic,1.0,14.335914611816406,13.848071098327637,-0.4878435134887695,0.4878435134887695
colab-gbdt-20260306T070623Z,gbdt,concat,30,6Quz1p_h2GI,1.0,12.84728717803955,13.803147315979004,0.9558601379394532,0.9558601379394532
colab-gbdt-20260306T070623Z,gbdt,concat,30,aGGeznHZkMI,1.0,13.945550918579102,13.846883773803713,-0.0986671447753906,0.0986671447753906
colab-gbdt-20260306T070623Z,gbdt,concat,30,H_m2zQY7RUs,1.0,12.703262329101562,13.010505676269531,0.3072433471679687,0.3072433471679687
colab-gbdt-20260306T070623Z,gbdt,concat,30,SjGJdm88kDM,1.0,12.021722793579102,11.604448318481444,-0.4172744750976562,0.4172744750976562
colab-gbdt-20260306T070623Z,gbdt,concat,30,dNIY3-V5oTg,0.0,13.098756790161133,14.245702743530272,1.1469459533691406,1.1469459533691406
colab-gbdt-20260306T070623Z,gbdt,concat,30,Pu4JJFAXKsY,1.0,11.465184211730955,12.946630477905272,1.4814462661743164,1.4814462661743164
colab-gbdt-20260306T070623Z,gbdt,concat,30,VzbD2fZx_-k,1.0,10.663545608520508,11.560572624206545,0.8970270156860352,0.8970270156860352
colab-gbdt-20260306T070623Z,gbdt,concat,30,IDEmvXUQEf4,1.0,13.55881404876709,13.692452430725098,0.1336383819580078,0.1336383819580078
colab-gbdt-20260306T070623Z,gbdt,concat,30,Bu7N22GWkc4,1.0,6.066108226776123,8.126678466796875,2.060570240020752,2.060570240020752
colab-gbdt-20260306T070623Z,gbdt,concat,30,p2x6deM3eas,1.0,8.563313484191895,7.865490436553955,-0.6978230476379395,0.6978230476379395
colab-gbdt-20260306T070623Z,gbdt,concat,30,oUPeZfuSy7A,1.0,10.009557723999023,13.04175090789795,3.032193183898926,3.032193183898926
colab-gbdt-20260306T070623Z,gbdt,concat,30,-1X5QO57SyQ,1.0,15.27741527557373,13.338488578796388,-1.938926696777344,1.938926696777344
colab-gbdt-20260306T070623Z,gbdt,concat,30,Dt28UK-ySG0,1.0,2.5649492740631104,4.367342948913574,1.802393674850464,1.802393674850464
colab-gbdt-20260306T070623Z,gbdt,concat,30,mXkw057jpJ4,1.0,12.823081016540527,13.106375694274902,0.283294677734375,0.283294677734375
colab-gbdt-20260306T070623Z,gbdt,concat,30,gUnqAyvYN9c,1.0,15.256258964538574,13.887089729309082,-1.3691692352294922,1.3691692352294922
colab-gbdt-20260306T070623Z,gbdt,concat,30,qhGAJRWkgBY,1.0,13.3157958984375,12.455970764160156,-0.8598251342773438,0.8598251342773438
colab-gbdt-20260306T070623Z,gbdt,concat,30,btYS7DhrvOU,1.0,8.923458099365234,12.364375114440918,3.4409170150756836,3.4409170150756836
colab-gbdt-20260306T070623Z,gbdt,concat,30,-mgXtD-FKkg,1.0,13.655190467834473,14.985270500183104,1.3300800323486328,1.3300800323486328
colab-gbdt-20260306T070623Z,gbdt,concat,30,2Em6tkDE3ko,1.0,13.341889381408691,13.106761932373049,-0.2351274490356445,0.2351274490356445
colab-gbdt-20260306T070623Z,gbdt,concat,30,UkKM-hQCKfc,1.0,14.306503295898438,13.719036102294922,-0.5874671936035156,0.5874671936035156
colab-gbdt-20260306T070623Z,gbdt,concat,30,0MEnTzeEXW8,1.0,10.693035125732422,12.623830795288086,1.930795669555664,1.930795669555664
colab-gbdt-20260306T070623Z,gbdt,concat,30,Muq5BxeBqMY,1.0,14.988255500793455,13.816030502319336,-1.172224998474121,1.172224998474121
colab-gbdt-20260306T070623Z,gbdt,concat,30,wQikox8Thvo,0.0,12.831679344177246,14.294389724731444,1.4627103805541992,1.4627103805541992
