horizon,model_family,strategy,candidate,val_rmse_log,val_mae_log,test_rmse_log,test_mae_log,test_r2_log,run_id,rmse_log,mae_log,r2_log,rmse_raw,mae_raw,delta_mae_log_snapshot_minus_stacking,delta_rmse_log_snapshot_minus_stacking
7,concat_mlp,max_pool,base::concat_mlp|max_pool,1.5076262019211246,1.180918840079798,1.533483557290812,1.2241148382130236,0.2630533482057361,colab-concat_mlp-20260306T054620Z,1.533483557290812,1.2241148382130236,0.2630533482057361,2665616.337938049,826207.4933913158,0.0,0.0
30,concat_mlp,max_pool,base::concat_mlp|max_pool,2.8362708982283515,2.0887946035169156,2.507335192188787,1.8877475043761291,0.3239363784767985,colab-concat_mlp-20260306T054620Z,2.507335192188787,1.8877475043761291,0.3239363784767985,8977794954.5389,333709861.3118702,0.0,0.0
7,gated_fusion_mlp,concat,base::gated_fusion_mlp|concat,1.6315501445888234,1.3026813497626055,1.616371754986883,1.3020530077490475,0.1812330412713167,colab-gated_fusion_mlp-20260306T054937Z,1.616371754986883,1.3020530077490475,0.1812330412713167,2754008.5992467753,867716.0604379871,0.0,0.0
30,gated_fusion_mlp,concat,base::gated_fusion_mlp|concat,2.8883254814419357,2.2142712595030196,2.665032808595838,2.048295241911447,0.2362206811880665,colab-gated_fusion_mlp-20260306T054937Z,2.665032808595838,2.048295241911447,0.2362206811880665,34648608.55565753,3277338.8601249172,0.0,0.0
7,gbdt,concat,base::gbdt|concat,1.3461099132206025,1.0721313944536517,1.3695271599192655,1.1127116208029266,0.412214184234712,colab-gbdt-20260306T070623Z,1.3695271599192655,1.1127116208029268,0.412214184234712,2643979.5182385063,809351.2648551989,-2.220446049250313e-16,0.0
30,gbdt,concat,base::gbdt|concat,1.7765018909106765,1.361050240502351,1.6212415797051154,1.22637574962184,0.7173439784910784,colab-gbdt-20260306T070623Z,1.6212415797051152,1.22637574962184,0.7173439784910786,6604735.505608214,1836432.9564524312,0.0,2.220446049250313e-16
7,ridge,sum_pool,base::ridge|sum_pool,1.663535400535814,1.3134667563172522,1.6200467520888002,1.3020429174498755,0.1775056972401587,colab-ridge-20260306T070324Z,1.6200467520888002,1.3020429174498755,0.1775056972401587,2749556.6085047587,883824.6372780331,0.0,0.0
30,ridge,sum_pool,base::ridge|sum_pool,3.127408386686238,2.4240310328719072,2.949137047574604,2.293976860840031,0.0646962307501636,colab-ridge-20260306T070324Z,2.949137047574604,2.293976860840031,0.0646962307501637,394713738956.18646,14582016539.860332,0.0,0.0
