horizon,family,best_candidate,best_rmse_log,best_mae_log,best_r2_log
7,stack,stack::linear,1.358427020766899,1.0944575972799009,0.4217036835212143
7,base,base::gbdt|concat,1.3695271599192655,1.1127116208029268,0.412214184234712
7,deterministic,blend::val_weighted_mean_log,1.4426136228378197,1.1677408255578907,0.3478044057045062
30,stack,stack::elasticnetcv,1.6005407035172945,1.2230522917674984,0.7245161008744101
30,base,base::gbdt|concat,1.6212415797051152,1.22637574962184,0.7173439784910786
30,deterministic,blend::val_weighted_mean_log,2.0124114116131593,1.552535718851395,0.5644918190375101
