run_id,run_timestamp,run_date,model_family,strategy,horizon,model,val_rmse_log,val_mae_log,val_r2_log,val_rmse_raw,val_mae_raw,test_rmse_log,test_mae_log,test_r2_log,test_rmse_raw,test_mae_raw,metrics_path,strategy_horizon,generalization_gap_mae_log
colab-gated_fusion_mlp-20260306T054937Z,2026-03-06 05:49:37+00:00,2026-03-06,gated_fusion_mlp,max_pool,30,gated_fusion_mlp,2.8883254814419357,2.2142712595030196,0.21901843665218534,7647719.308167897,2449963.88556326,2.665032808595838,2.048295241911447,0.2362206811880665,34648608.55565742,3277338.860124913,../analysis/s3_snapshots/models/snapshots/run_id=colab-gated_fusion_mlp-20260306T054937Z/model=gated_fusion_mlp/strategy=max_pool/horizon=30/metrics_summary.json,max_pool|h=30,-0.16597601759157277
colab-gated_fusion_mlp-20260306T054937Z,2026-03-06 05:49:37+00:00,2026-03-06,gated_fusion_mlp,sum_pool,30,gated_fusion_mlp,2.8883254814419357,2.2142712595030196,0.21901843665218534,7647719.308167897,2449963.88556326,2.665032808595838,2.048295241911447,0.2362206811880665,34648608.55565742,3277338.860124913,../analysis/s3_snapshots/models/snapshots/run_id=colab-gated_fusion_mlp-20260306T054937Z/model=gated_fusion_mlp/strategy=sum_pool/horizon=30/metrics_summary.json,sum_pool|h=30,-0.16597601759157277
colab-gbdt-20260306T070623Z,2026-03-06 07:06:23+00:00,2026-03-06,gbdt,concat,7,gbdt,1.3461099132206025,1.0721313944536515,0.4419091863757324,3386045.5555582545,834077.0422140149,1.3695271599192655,1.1127116208029266,0.412214184234712,2643979.5182385063,809351.2648551989,../analysis/s3_snapshots/models/snapshots/run_id=colab-gbdt-20260306T070623Z/model=gbdt/strategy=concat/horizon=7/metrics_summary.json,concat|h=7,0.04058022634927516
colab-gbdt-20260306T070623Z,2026-03-06 07:06:23+00:00,2026-03-06,gbdt,max_pool,7,gbdt,1.374794192592044,1.0904312819205548,0.41787103816915583,3528711.4855597923,847493.5275062962,1.3685250632731838,1.1173687831009969,0.41307404699112726,2597330.0143230953,801077.2942812301,../analysis/s3_snapshots/models/snapshots/run_id=colab-gbdt-20260306T070623Z/model=gbdt/strategy=max_pool/horizon=7/metrics_summary.json,max_pool|h=7,0.026937501180442025
colab-gbdt-20260306T070623Z,2026-03-06 07:06:23+00:00,2026-03-06,gbdt,sum_pool,7,gbdt,1.3673710306930265,1.0838602827088688,0.4241404439519425,3483985.965546882,849754.2486008224,1.373557227369621,1.1172922082466654,0.4087497742153151,2617620.309356396,805550.5850448045,../analysis/s3_snapshots/models/snapshots/run_id=colab-gbdt-20260306T070623Z/model=gbdt/strategy=sum_pool/horizon=7/metrics_summary.json,sum_pool|h=7,0.033431925537796614
colab-gbdt-20260306T070623Z,2026-03-06 07:06:23+00:00,2026-03-06,gbdt,concat,30,gbdt,1.7765018909106765,1.361050240502351,0.7045528082268793,7389787.442399129,2241295.7033767705,1.6212415797051154,1.2263757496218401,0.7173439784910784,6604735.505608219,1836432.9564524319,../analysis/s3_snapshots/models/snapshots/run_id=colab-gbdt-20260306T070623Z/model=gbdt/strategy=concat/horizon=30/metrics_summary.json,concat|h=30,-0.13467449088051087
colab-gbdt-20260306T070623Z,2026-03-06 07:06:23+00:00,2026-03-06,gbdt,max_pool,30,gbdt,1.779430580446155,1.3639006494337345,0.7035778739075396,7422370.1775447875,2257711.592447306,1.6419168976269336,1.2492791900530682,0.7100887158712743,6657582.457816177,1862490.7091363769,../analysis/s3_snapshots/models/snapshots/run_id=colab-gbdt-20260306T070623Z/model=gbdt/strategy=max_pool/horizon=30/metrics_summary.json,max_pool|h=30,-0.11462145938066626
colab-gbdt-20260306T070623Z,2026-03-06 07:06:23+00:00,2026-03-06,gbdt,sum_pool,30,gbdt,1.7880384114478507,1.3628908722657624,0.7007031081907591,7360718.532443915,2213559.3844169225,1.6384126693322938,1.2467077165476135,0.7113248700612531,6604782.0760907205,1839439.448667115,../analysis/s3_snapshots/models/snapshots/run_id=colab-gbdt-20260306T070623Z/model=gbdt/strategy=sum_pool/horizon=30/metrics_summary.json,sum_pool|h=30,-0.11618315571814897
colab-ridge-20260306T070324Z,2026-03-06 07:03:24+00:00,2026-03-06,ridge,concat,7,ridge,1.8714441349157822,1.4957387538943,-0.07869226259146811,3782047.073150743,1107910.9284712297,1.7779325353799662,1.4108395446645152,0.009377112939087384,2680768.07350904,928624.8745563206,../analysis/s3_snapshots/models/snapshots/run_id=colab-ridge-20260306T070324Z/model=ridge/strategy=concat/horizon=7/metrics_summary.json,concat|h=7,-0.08489920922978489
colab-ridge-20260306T070324Z,2026-03-06 07:03:24+00:00,2026-03-06,ridge,max_pool,7,ridge,1.7256908544085099,1.3879926638975462,0.08278779773457368,3649120.417064789,997815.0367456009,1.6691053334684287,1.335760482467047,0.1269375847447839,2764786.961024762,905769.7456916,../analysis/s3_snapshots/models/snapshots/run_id=colab-ridge-20260306T070324Z/model=ridge/strategy=max_pool/horizon=7/metrics_summary.json,max_pool|h=7,-0.052232181430499125
colab-ridge-20260306T070324Z,2026-03-06 07:03:24+00:00,2026-03-06,ridge,sum_pool,7,ridge,1.663535400535814,1.3134667563172522,0.14766970874774998,3574884.9665562087,923675.7804901819,1.6200467520888002,1.3020429174498755,0.17750569724015874,2749556.608504759,883824.6372780331,../analysis/s3_snapshots/models/snapshots/run_id=colab-ridge-20260306T070324Z/model=ridge/strategy=sum_pool/horizon=7/metrics_summary.json,sum_pool|h=7,-0.011423838867376634
colab-ridge-20260306T070324Z,2026-03-06 07:03:24+00:00,2026-03-06,ridge,concat,30,ridge,3.535228404958135,2.719085992277075,-0.16999356814386402,22337495.75678025,5612157.971233165,3.2615291730262754,2.5491057409921414,-0.1439454354966867,394713748699.5744,14588107393.869268,../analysis/s3_snapshots/models/snapshots/run_id=colab-ridge-20260306T070324Z/model=ridge/strategy=concat/horizon=30/metrics_summary.json,concat|h=30,-0.16998025128493355
colab-ridge-20260306T070324Z,2026-03-06 07:03:24+00:00,2026-03-06,ridge,max_pool,30,ridge,3.238829343401113,2.554243091996988,0.017970240809192517,9423819.024563426,3288318.1972744833,2.9387226821840313,2.2814123689071217,0.0712902929703979,394713738865.7202,14581385459.496471,../analysis/s3_snapshots/models/snapshots/run_id=colab-ridge-20260306T070324Z/model=ridge/strategy=max_pool/horizon=30/metrics_summary.json,max_pool|h=30,-0.2728307230898661
colab-ridge-20260306T070324Z,2026-03-06 07:03:24+00:00,2026-03-06,ridge,sum_pool,30,ridge,3.127408386686238,2.4240310328719072,0.08437485434868908,8833593.854406245,3056592.1582407965,2.949137047574604,2.293976860840031,0.06469623075016362,394713738956.18646,14582016539.860332,../analysis/s3_snapshots/models/snapshots/run_id=colab-ridge-20260306T070324Z/model=ridge/strategy=sum_pool/horizon=30/metrics_summary.json,sum_pool|h=30,-0.1300541720318762
